OEM,Model,SQFT + Working Area,Web Widths (mm),Web Widths (inches),Corona Treater,Optional Print Station,Cold Foil,Hot Foil,Digital Embellishment,Lamination,UV / LED Curing,Embossing,Full Rotary,Semi-Rotary,Knife / Plotter,Laser,Slitting,# Product Rewinds,Turret Rewind Add-On,Inspection
AB Graphics,Digicon Series 3,490,"350 mm, 430 mm, 540 mm","13.78"", 16.93"", 21.26""",Yes,Flexo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,1,Optional,Optional
AB Graphics,Digicon Lite 3,156.8,350 mm,"13.78""",Yes,Flexo,Optional,No,No,Yes,Yes,No,No,Yes,No,No,Yes,2,Optional,Optional
AB Graphics,Digilase,214.2,330 mm,"12.99""",No,No,No,No,No,Optional,Yes,No,No,No,No,Yes,No,1,Optional,Optional
AB Graphics,Digicon 3000,392,762 mm,"30.0""",Yes,Flexo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2,Optional,Optional
Graphotronics,DCL2 Modular Digital Finishing,315,"350 mm, 450 mm, 550 mm, 670 mm, 750 mm","13.78"", 17.72"", 21.65"", 26.38"", 29.53""",Yes,Flexo,Yes,Optional,Yes,Yes,Yes,Optional,Yes,Yes,No,No,Yes,2,Optional,Optional
Graphotronics,CF2 Compact Digital Finishing,224,"350 mm, 450 mm","13.78"", 17.72""",Optional,No,Optional,No,No,Yes,Yes,No,No,Yes,No,No,Yes,2,Optional,Optional
Graphotronics,SCF Super Compact Finishing,137.2,350 mm,"13.78""",Optional,No,Optional,No,No,Yes,Yes,No,No,Yes,No,No,Yes,1,Optional,Optional
Graphotronics,DCL2 HAPTIC Digital (Embellishment / Foil),364,"350 mm, 450 mm, 550 mm, 670 mm, 750 mm","13.78"", 17.72"", 21.65"", 26.38"", 29.53""",Yes,Flexo,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,No,No,Yes,2,Optional,Optional
GM Finishing,DC350Nano,126,350 mm,"13.78""",Optional,Flexo,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,1,Optional,Optional
GM Finishing,DC330Mini,189,330 mm,"12.99""",Optional,No,No,No,No,Optional,Yes,No,No,Yes,No,No,Optional,1,Optional,Optional
GM Finishing,DC350Flex,273,"350 mm, 550 mm","13.78"", 21.65""",Yes,Flexo,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,2,Yes,Optional
GM Finishing,DC350Flex+,322,350 mm,"13.78""",Yes,Flexo,Yes,Optional,No,Yes,Yes,No,Yes,Yes,No,No,Yes,2,Yes,Optional
Gonderflex,Rotoworx 330,168,330 mm,"12.99""",No,No,No,No,No,Yes,Yes,,No,Yes,No,No,Yes,1,Optional,Optional
CEI,"BOSS Digital Finisher (13"")",224,330 mm,"12.99""",No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,1,No,Optional
CEI,"BOSS Digital Finisher (17"")",224,430 mm,"16.93""",No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,1,No,Optional
Brotech,CDF 330 / 420,273,"330 mm, 420 mm","12.99"", 16.54""",Optional,No,Optional,No,No,Yes,Yes,No,No,Yes,No,No,Yes,2,Optional,Optional
